VALUE,FBFM40,Red,Green,Blue
91,NB1,0.407843137,0.407843137,0.407843137
92,NB2,0.882352941,0.882352941,0.882352941
93,NB3,1,0.929411765,0.929411765
98,NB8,0,0.054901961,0.839215686
99,NB9,0.301960784,0.431372549,0.439215686
101,GR1,1,0.921568627,0.745098039
102,GR2,1,0.82745098,0.450980392
103,GR3,1,0.925490196,0.545098039
104,GR4,1,1,0.450980392
105,GR5,0.960784314,0.870588235,0.160784314
106,GR6,0.901960784,0.901960784,0.250980392
107,GR7,0.803921569,0.776470588,0.450980392
108,GR8,0.545098039,0.525490196,0.305882353
109,GR9,0.658823529,0.439215686,0
121,GS1,1,0.666666667,0
122,GS2,1,0.654901961,0.498039216
123,GS3,1,0.388235294,0
124,GS4,0.803921569,0.4,0
141,SH1,0.843137255,0.760784314,0.619607843
142,SH2,0.843137255,0.690196078,0.619607843
143,SH3,0.803921569,0.537254902,0.4
144,SH4,0.537254902,0.352941176,0.266666667
145,SH5,0.803921569,0.666666667,0.4
146,SH6,0.929411765,0.439215686,0.266666667
147,SH7,0.803921569,0.490196078,0.223529412
148,SH8,0.658823529,0.219607843,0
149,SH9,0.450980392,0.101960784,0
161,TU1,0.91372549,1,0.745098039
162,TU2,0.666666667,1,0
163,TU3,0.705882353,0.843137255,0.619607843
164,TU4,0.439215686,0.658823529,0
165,TU5,0.149019608,0.450980392,0
181,TL1,0.745098039,1,0.909803922
182,TL2,0,1,0.77254902
183,TL3,0.745098039,0.823529412,1
184,TL4,0.482352941,0.407843137,0.933333333
185,TL5,0.745098039,0.909803922,1
186,TL6,0,0.77254902,1
187,TL7,0,0.517647059,0.658823529
188,TL8,0,0.360784314,0.901960784
189,TL9,0.301960784,0.431372549,0.568627451
201,SB1,0.909803922,0.745098039,1
202,SB2,0.77254902,0,1
203,SB3,1,0.745098039,0.909803922
204,SB4,1,0.498039216,0.498039216
-9999,NoData,0,0,0
